x,y
5.64392,54932.0476
40.57,7080600.96
3.459,777029.76
13.001,4695337.152
6.849,296468.5536
5.64392,54932.0476
30.74468,710624.171
12.83583,257557.809
9.00643,57482.35063
4.11914,24908.99978
5.75568,25540.85302
40.57193,7112276.207
3.45988,777938.9052
13.00178,4700101.032
11.78493,302655.1041
62.58261,7862518.645
22.54058,2528505.61
10.56219,1740477.889
22.38509,1822804.627
17.45596,3567107.272
4.951017,36184995.24
1.615621,6607120.337
12.691776,82651443.78
7.022816,24279941.53
11.525202,50975421.14
3.356377,25499065.73
6.049091,32536437.98
23.979667,88140727.57
7.005197,19219513.19
48.587002,383430641.8
61.298987,623972557.4
36.803379,155742578.4
5.245116,19706636.64
8.553192,21028886.34
10.0857,151164452.2
17.611988,90209306.45
5.701993,20074438.93
5.679388,21950723.58
13.998184,53718431.11
7.114601,24864750.51
55.314612,355527446.8
52.901364,442876607.3
6.984773,39002501.94
1.945528,9578690.501
37.773609,218824895.8
9.944804,28552420.16
20.413832,163652555.4
15.858873,163652555.4
5.170903,163652555.4
6.177016,163652555.4
15.886217,85536670.11
76.026998,947535346.1
19.113258,128956247.1
12.045172,47194282.46
19.986897,94625747.06
19.058407,130297957.7
18.725167,69364279.07
21.632904,139234602.2
5.7331,3717178.761
5.481,373419.7407
7.70157,474275.0031
4.46959,387632.3083
4.4019,370618.2874
20.51216,535219.6884
14.37739,367854.6097
4.20762,107690.9708
17.36287,696775.5846
11.59735,353860.1988
5.42469,85536.51192
22.43582,431306.2037
10.14467,170750.8653
1.82706,43087.33673
8.8622,177909.0195
2.08368,1124866.747
18.02259,8714864.63
6.01618,3265297.963
4.05859,1915898.905
14.02148,8189429.58
22.38191,19714480.52
5.08906,4144809.263
16.30843,18522335.12
57.67643,68716985.12
71.67261,84715070.94
13.65944,22843054.36
20.85171,29001563.15
20.56595,37670843.44
7.39544,6870635.439
18.84258,15018029.48
11.98477,5750426.492
7.14171,3609965.061
3.32884,1721471.524
7.97005,9485999.673
12.74433,12894175.59
6.01421,6009494.859
12.12885,13847989.71
22.26857,33327662.77
12.02514,23989356.6
8.54563,8178286.865
1.9956,2316743.319
15.34255,28840415.87
25.30389,44716632.78
10.19047,26478904.86
15.4008,38947607.49
21.07461,67401885.26
12.60239,31699021.84
16.29891,35391559.57
14.54705,27694909.8
8.63123,33191594.93
21.08428,48288885.91
18.68322,30915946.79
11.41689,15546826.29
24.99195,24601452.58
0.47256,313441.9709
4.77111,4373505.998
2.03686,2124628.134
1.26096,394902.1669
3.12916,2069306.699
6.24054,311070.6497
12.18676,614030.1951
5.01748,162549.0116
8.60703,508401.976
100.18359,16620294.08
43.91676,2906592.465
5.6101,181340.6929
17.21221,593575.0415
13.39876,852159.8497
1.96925,225666.0305
4.84165,291195.7328
5.36138,1227258.999
6.42728,1365480.058
3.7951,627600.7269
8.68297,1387810.904
2.06051,443537.3384
17.10334,3873895.017
41.96395,11220662.03
11.19971,1684522.756
35.03762,13314876.38
29.83839,12592885.27
1.47108,359962.3547
3.89212,974083.052
12.21326,3233380.271
6.46811,1704716.65
3.65382,382483.7484
11.95257,1918801.713
8.25348,1437853.409
3.65077,641230.5888
6.89764,550270.1017
4.14339,3236817.461
20.26555,13186863.42
24.39219,11234455.74
29.04462,19837795.18
10.23583,3426672.884
21.73763,6257557.639
0.265947,403.4905332
8.89585,181966.3909
3.01637,130885.7479
6.01953,409163.153
7.9917,380545.8297
8.03509,477978.5778
3.57376,28240.36614
7.26772,4729300.063
0.93028,448711.3445
24.56782,15353812.81
15.4256,861410.4233
20.40088,1281189.626
7.40686,517913.7233
5.64095,59616.08675
2.46776,454611.6159
5.80584,131556.0613
7.7361,576293.6523
1.77758,77960.22196
4.02083,45113.3266
7.82652,1713810.276
8.9201,1668427.207
9.04379,2188764.454
5.55597,1517297.182
4.56101,1162194.972
6.09403,67342.44416
4.05254,659883.323
11.95992,230330.8369
11.63847,2049721.155
5.91388,49951.37452
9.47826,2184522.674
7.28251,1180848.859
19.08308,13029271.18
3.93745,153465.6732
9.9174,843933.2919
1.9749,229436.0456
3.57071,50820.74424
6.35209,2647093.355
9.02284,3564022.377
5.41737,1551335.929
9.01246,2132273.341
3.93933,66982.47644
10.7837,713579.3415
3.96195,81802.41335
12.70448,595528.2932
9.91631,2140757.754
11.34494,2267885.453
11.8962,5111725.572
6.75829,1852509.357
4.95377,829684.8237
5.92657,770469.6513
23.61581,6584206.474
8.85617,2749198.04
1.09234,264868.5758
3.28655,395647.0887
2.09273,441439.5287
8.36107,2321059.787
5.64584,8759673.966
14.561,3001340.811
12.61289,2504155.916
44.48126,19327010.68
16.30585,3601690.414
8.39338,1558407.325
16.68324,478324.7736
7.39069,189108.2457
10.11868,86577.36887
13.03668,528233.3412
10.11554,180232.7033
14.39362,599033.9075
10.14632,362587.9175
4.59542,117858.6264
4.24421,861990.0872
16.37309,967440.5674
36.1267,6349412.61
16.0001,1262664.404
10.82542,677702.1228
6.44923,46454.88716
3.3596,29833.89304
7.0509,154047.8376
